QL converged in 24072 episodes, 786364 actions, optimal* path has 26 actions.
QL trained for 500 episodes, 13034 actions, optimal* path has 26 actions.
QL converged in 23377 episodes, 769848 actions, optimal* path has 26 actions.
QL trained for 700 episodes, 18224 actions, optimal* path has 26 actions.
QL converged in 23067 episodes, 513770 actions, optimal* path has 18 actions.
QL trained for 500 episodes, 9026 actions, optimal* path has 18 actions.
